UWI,CountryID,DataSourceOrganisationID,DefaultVerticalMeasurementID,FacilityName,OperatingEnvironmentID,QuadrantID,StateProvinceID,FacilityEvent,Lat,Lon,ResourceID,ResourceSecurityClassification,ResourceTypeID,SpudDate,WellName
1180,srn:master-data/GeopoliticalEntity:Netherlands:,srn:master-data/Organisation:TNO:,Drill Floor,COV-16,srn:reference-data/WellOperatingEnvironment:ON:,srn:master-data/GeopoliticalEntity:O:,srn:master-data/GeopoliticalEntity:Overijssel:,"FacilityEventTypeID='srn:reference-data/FacilityEventType:SPUD:', EffectiveDateTime='1979-02-04T00:00:00',FacilityEventTypeID='srn:reference-data/FacilityEventType:DRILLING FINISH:', EffectiveDateTime='1979-05-13T00:00:00'",52.638317,6.605291,srn:master-data/Well:1180:,srn:reference-data/ResourceSecurityClassification:RESTRICTED:,srn:type:master-data/Well:,1979-02-04T00:00:00+0000,COV-16
2615,srn:master-data/GeopoliticalEntity:Netherlands:,srn:master-data/Organisation:TNO:,Ground Level,TWR-001,srn:reference-data/WellOperatingEnvironment:ON:,srn:master-data/GeopoliticalEntity:O:,srn:master-data/GeopoliticalEntity:Overijssel:,"FacilityEventTypeID='srn:reference-data/FacilityEventType:SPUD:', EffectiveDateTime='1934-12-27T00:00:00',FacilityEventTypeID='srn:reference-data/FacilityEventType:DRILLING FINISH:', EffectiveDateTime='1935-03-19T00:00:00'",52.244904,6.799329,srn:master-data/Well:2615:,srn:reference-data/ResourceSecurityClassification:RESTRICTED:,srn:type:master-data/Well:,1934-12-27T00:00:00+0000,TWR-001
2768,srn:master-data/GeopoliticalEntity:Netherlands:,srn:master-data/Organisation:TNO:,Ground Level,TWR-002,srn:reference-data/WellOperatingEnvironment:ON:,srn:master-data/GeopoliticalEntity:O:,srn:master-data/GeopoliticalEntity:Overijssel:,"FacilityEventTypeID='srn:reference-data/FacilityEventType:SPUD:', EffectiveDateTime='1935-03-25T00:00:00',FacilityEventTypeID='srn:reference-data/FacilityEventType:DRILLING FINISH:', EffectiveDateTime='1935-06-08T00:00:00'",52.244867,6.797907,srn:master-data/Well:2768:,srn:reference-data/ResourceSecurityClassification:RESTRICTED:,srn:type:master-data/Well:,1935-03-25T00:00:00+0000,TWR-002
2769,srn:master-data/GeopoliticalEntity:Netherlands:,srn:master-data/Organisation:TNO:,Ground Level,TWR-003,srn:reference-data/WellOperatingEnvironment:ON:,srn:master-data/GeopoliticalEntity:O:,srn:master-data/GeopoliticalEntity:Overijssel:,"FacilityEventTypeID='srn:reference-data/FacilityEventType:SPUD:', EffectiveDateTime='1935-05-17T00:00:00',FacilityEventTypeID='srn:reference-data/FacilityEventType:DRILLING FINISH:', EffectiveDateTime='1935-08-23T00:00:00'",52.244874,6.79656,srn:master-data/Well:2769:,srn:reference-data/ResourceSecurityClassification:RESTRICTED:,srn:type:master-data/Well:,1935-05-17T00:00:00+0000,TWR-003
2616,srn:master-data/GeopoliticalEntity:Netherlands:,srn:master-data/Organisation:TNO:,Ground Level,TWR-004,srn:reference-data/WellOperatingEnvironment:ON:,srn:master-data/GeopoliticalEntity:O:,srn:master-data/GeopoliticalEntity:Overijssel:,"FacilityEventTypeID='srn:reference-data/FacilityEventType:SPUD:', EffectiveDateTime='1935-08-28T00:00:00',FacilityEventTypeID='srn:reference-data/FacilityEventType:DRILLING FINISH:', EffectiveDateTime='1935-11-04T00:00:00'",52.245007,6.795261,srn:master-data/Well:2616:,srn:reference-data/ResourceSecurityClassification:RESTRICTED:,srn:type:master-data/Well:,1935-08-28T00:00:00+0000,TWR-004
2617,srn:master-data/GeopoliticalEntity:Netherlands:,srn:master-data/Organisation:TNO:,Ground Level,TWR-005,srn:reference-data/WellOperatingEnvironment:ON:,srn:master-data/GeopoliticalEntity:O:,srn:master-data/GeopoliticalEntity:Overijssel:,"FacilityEventTypeID='srn:reference-data/FacilityEventType:SPUD:', EffectiveDateTime='1935-11-07T00:00:00',FacilityEventTypeID='srn:reference-data/FacilityEventType:DRILLING FINISH:', EffectiveDateTime='1936-01-15T00:00:00'",52.245227,6.793321,srn:master-data/Well:2617:,srn:reference-data/ResourceSecurityClassification:RESTRICTED:,srn:type:master-data/Well:,1935-11-07T00:00:00+0000,TWR-005
2770,srn:master-data/GeopoliticalEntity:Netherlands:,srn:master-data/Organisation:TNO:,Ground Level,TWR-006,srn:reference-data/WellOperatingEnvironment:ON:,srn:master-data/GeopoliticalEntity:O:,srn:master-data/GeopoliticalEntity:Overijssel:,"FacilityEventTypeID='srn:reference-data/FacilityEventType:SPUD:', EffectiveDateTime='1936-01-17T00:00:00',FacilityEventTypeID='srn:reference-data/FacilityEventType:DRILLING FINISH:', EffectiveDateTime='1936-04-03T00:00:00'",52.24544,6.791365,srn:master-data/Well:2770:,srn:reference-data/ResourceSecurityClassification:RESTRICTED:,srn:type:master-data/Well:,1936-01-17T00:00:00+0000,TWR-006
2771,srn:master-data/GeopoliticalEntity:Netherlands:,srn:master-data/Organisation:TNO:,Ground Level,TWR-007,srn:reference-data/WellOperatingEnvironment:ON:,srn:master-data/GeopoliticalEntity:O:,srn:master-data/GeopoliticalEntity:Overijssel:,"FacilityEventTypeID='srn:reference-data/FacilityEventType:SPUD:', EffectiveDateTime='1939-05-22T00:00:00',FacilityEventTypeID='srn:reference-data/FacilityEventType:DRILLING FINISH:', EffectiveDateTime='1939-08-19T00:00:00'",52.244277,6.793159,srn:master-data/Well:2771:,srn:reference-data/ResourceSecurityClassification:RESTRICTED:,srn:type:master-data/Well:,1939-05-22T00:00:00+0000,TWR-007
2748,srn:master-data/GeopoliticalEntity:Netherlands:,srn:master-data/Organisation:TNO:,Maaiveld,DED-01,srn:reference-data/WellOperatingEnvironment:ON:,srn:master-data/GeopoliticalEntity:O:,srn:master-data/GeopoliticalEntity:Overijssel:,"FacilityEventTypeID='srn:reference-data/FacilityEventType:SPUD:', EffectiveDateTime='1885-01-01T00:00:00',FacilityEventTypeID='srn:reference-data/FacilityEventType:DRILLING FINISH:', EffectiveDateTime='1887-01-01T00:00:00'",52.266401,6.710436,srn:master-data/Well:2748:,srn:reference-data/ResourceSecurityClassification:RESTRICTED:,srn:type:master-data/Well:,1885-01-01T00:00:00+0000,DED-01
1211,srn:master-data/GeopoliticalEntity:Netherlands:,srn:master-data/Organisation:TNO:,Maaiveld,DED-02,srn:reference-data/WellOperatingEnvironment:ON:,srn:master-data/GeopoliticalEntity:O:,srn:master-data/GeopoliticalEntity:Overijssel:,"FacilityEventTypeID='srn:reference-data/FacilityEventType:SPUD:', EffectiveDateTime='1981-12-17T00:00:00',FacilityEventTypeID='srn:reference-data/FacilityEventType:DRILLING FINISH:', EffectiveDateTime='1982-02-10T00:00:00'",52.249758,6.723835,srn:master-data/Well:1211:,srn:reference-data/ResourceSecurityClassification:RESTRICTED:,srn:type:master-data/Well:,1981-12-17T00:00:00+0000,DED-02
2791,srn:master-data/GeopoliticalEntity:Netherlands:,srn:master-data/Organisation:TNO:,Maaiveld,TWR-028,srn:reference-data/WellOperatingEnvironment:ON:,srn:master-data/GeopoliticalEntity:O:,srn:master-data/GeopoliticalEntity:Overijssel:,"FacilityEventTypeID='srn:reference-data/FacilityEventType:SPUD:', EffectiveDateTime='1952-08-28T00:00:00',FacilityEventTypeID='srn:reference-data/FacilityEventType:DRILLING FINISH:', EffectiveDateTime='1952-11-08T00:00:00'",52.240751,6.788757,srn:master-data/Well:2791:,srn:reference-data/ResourceSecurityClassification:RESTRICTED:,srn:type:master-data/Well:,1952-08-28T00:00:00+0000,TWR-028
2792,srn:master-data/GeopoliticalEntity:Netherlands:,srn:master-data/Organisation:TNO:,Maaiveld,TWR-029,srn:reference-data/WellOperatingEnvironment:ON:,srn:master-data/GeopoliticalEntity:O:,srn:master-data/GeopoliticalEntity:Overijssel:,"FacilityEventTypeID='srn:reference-data/FacilityEventType:SPUD:', EffectiveDateTime='1952-12-01T00:00:00',FacilityEventTypeID='srn:reference-data/FacilityEventType:DRILLING FINISH:', EffectiveDateTime='1953-02-24T00:00:00'",52.239493,6.788747,srn:master-data/Well:2792:,srn:reference-data/ResourceSecurityClassification:RESTRICTED:,srn:type:master-data/Well:,1952-12-01T00:00:00+0000,TWR-029
